10.88.0.31;CBPDCNFL-N48GE2B-RT01
10.88.0.32;CBPDCNFL-N48GE2B-RT02
10.88.0.35;CBPDCNFL-N48GE2A-RT01
10.88.0.36;CBPDCNFL-N48GE2A-RT02
10.88.0.39;CBPDCNFL-N48GE2B-RT03
10.88.0.40;CBPDCNFL-N48GE2B-RT04
10.88.0.41;CBPDCNCL-N48GE2B-RT03
10.88.0.42;CBPDCNCL-N48GE2B-RT04
10.88.0.43;CBPDCNFL-N48GE2C-RT03
10.88.0.44;CBPDCNFL-N48GE2C-RT04
10.88.0.45;CBPDCNCL-N48GE2C-RT03
10.88.0.46;CBPDCNCL-N48GE2C-RT04
10.88.0.47;CBPDCNCL-N48GE2A-RT01
10.88.0.48;CBPDCNCL-N48GE2A-RT02
10.88.0.53;CBPDCNCL-N48GE2C-RT01
10.88.0.54;CBPDCNCL-N48GE2C-RT02
10.88.0.55;CBPDCNCL-N48GE2C-RT05
10.88.0.56;CBPDCNCL-N48GE2C-RT06
10.88.0.57;CBPDCNFL-N48GE2C-RT05
10.88.0.58;CBPDCNFL-N48GE2C-RT06
10.88.0.59;CBPDCNCL-N48GE2B-RT05
10.88.0.60;CBPDCNCL-N48GE2B-RT06
10.88.0.61;CBPDCNFL-N48GE2B-RT05
10.88.0.62;CBPDCNFL-N48GE2B-RT06
10.88.0.63;CBPDCNFL-N48GE2B-RT07
10.88.0.64;CBPDCNFL-N48GE2B-RT08
10.89.0.31;CBPDCNFL-N09IRH2-RT01
10.89.0.32;CBPDCNFL-N09IRH2-RT02
10.89.0.35;CBPDCNCL-N09IRH1-RT01
10.89.0.36;CBPDCNCL-N09IRH1-RT02
10.89.0.37;CBPDCNFL-N09IRH1-RT03
10.89.0.38;CBPDCNFL-N09IRH1-RT04
10.89.0.39;CBPDCNCL-N09IRH2-RT01
10.89.0.40;CBPDCNCL-N09IRH2-RT02
10.89.0.41;CBPDCNFL-N09IRH2-RT03
10.89.0.42;CBPDCNFL-N09IRH2-RT04
10.89.0.43;CBPDCNCL-N09IRH2-RT03
10.89.0.44;CBPDCNCL-N09IRH2-RT04
10.89.0.47;CBPDCNFL-N09IRH2-RT05
10.89.0.48;CBPDCNFL-N09IRH2-RT06
10.89.0.49;CBPDCNFL-N09IRH1-RT01
10.89.0.50;CBPDCNFL-N09IRH1-RT02
10.89.0.51;CBPDCNFL-N09IRH1-RT07
10.89.0.52;CBPDCNFL-N09IRH2-RT07
10.89.4.12;CBSDCNCL-N09IRS1-RT01
10.89.4.13;CBSDCNCL-N09IRS1-RT02
10.89.4.33;CBSDCNFL-N09IRS1-RT01
10.89.4.34;CBSDCNFL-N09IRS1-RT02
