hostname;port;vlans;description;"acces or trunk
default access ";"vpc
optional";"mtu
default 9216";"speed
default auto";"duplex
default auto";"shutdown
default no";"overwrite
default no"
CBPDCNCL-N48GE2A-RT05;Eth1/10;710;SLAC-UPD-AV_Server_1_Data2;;;;;;;
CBPDCNCL-N48GE2A-RT05;Eth1/11;710;SLAC-UPD-AV_Server_2_Data2;;;;;;;
CBPDCNCL-N48GE2A-RT06;Eth1/10;710;SLAC-UPD-AV_Server_1_Data1;;;;;;;
CBPDCNCL-N48GE2A-RT06;Eth1/11;710;SLAC-UPD-AV_Server_2_Data1;;;;;;;
CBPDCNNC-N48GE2A-RT01;Eth109/1/01;1233;SLANC-UPM-AAUNSWB333_iLO;;;;;;;
CBPDCNNC-N48GE2A-RT01;Eth109/1/36;1100;SLANC-UPD-DC-NSW-BUR-2A-BS21-UM6-03;;;;;;;
CBPDCNCL-N48GE2C-RT09;Eth1/1;1562;SLAC-UPD-AUGEOPSCBA004;;201;;1000;full;yes;
CBPDCNCL-N48GE2C-RT09;Eth1/2;1,562,562;SLAC-UPD-AUGEOPSCBA005;;202;;1000;full;;yes
CBPDCNCL-N48GE2C-RT09;Eth1/3;1562;SLAC-UPD-AUGEOPSCBA104;trunk;203;;1000;full;;
CBPDCNCL-N48GE2C-RT09;Eth1/4;1562;SLAC-UPD-AUGEOPSCBA105;;203;;1000;full;;
CBPDCNCL-N48GE2C-RT10;Eth1/1;1562;SLAC-UPD-AUGEOPSCBA004;;201;;1000;full;yes;
CBPDCNCL-N48GE2C-RT10;Eth1/2;1,562,562;SLAC-UPD-AUGEOPSCBA005;;202;;1000;full;;yes
CBPDCNCL-N48GE2C-RT10;Eth1/3;1562;SLAC-UPD-AUGEOPSCBA104;trunk;203;;1000;full;;
CBPDCNCL-N48GE2C-RT10;Eth1/4;1562;SLAC-UPD-AUGEOPSCBA105;;203;;1000;full;;
CBPDCNFL-N48GE2A-RT01;Eth1/38;47,64-81,762-778,952;SLAC-UPD-BEAUNSW303-DATA#1;trunk;;;;;;
CBPDCNFL-N48GE2A-RT01;Eth1/39;47,64-81,762-778,952;SLAC-UPD-BEAUNSW304-DATA#1;trunk;;;;;;
CBPDCNFL-N48GE2A-RT02;Eth1/38;47,64-81,762-778,952;SLAC-UPD-BEAUNSW303-DATA#2;trunk;;;;;;
CBPDCNFL-N48GE2A-RT02;Eth1/39;47,64-81,762-778,952;SLAC-UPD-BEAUNSW304-DATA#2;trunk;;;;;;
